日期,多空仓位,多头仓位,打分,隔日涨跌
2-5-2016,-1,0,4,-0.0097
2-15-2016,-1,0,3,0.0267
2-16-2016,-1,0,3,0.006
2-17-2016,-1,0,4,-0.001
2-18-2016,-1,0,3,-0.0025
2-19-2016,0,0,5,0.0239
2-22-2016,-1,0,4,-0.0117
2-23-2016,0,0,5,0.0044
2-24-2016,0,0,5,-0.0505
2-25-2016,1,0,8,0.0103
2-26-2016,-1,1,3,-0.0097
2-29-2016,0,0,5,0.0176
3-1-2016,1,0,8,0.0396
3-2-2016,-1,1,4,0.002
3-3-2016,-1,0,4,0.0336
3-4-2016,0,0,5,-0.0052
3-7-2016,1,0,6,0.0019
3-8-2016,1,1,6,-0.0038
3-9-2016,0,1,5,-0.0228
3-10-2016,1,0,9,0.0034
3-11-2016,1,1,6,0.0048
3-14-2016,0,1,5,0.0106
3-15-2016,-1,0,4,0.0176
3-16-2016,0,0,5,-0.0014
3-17-2016,-1,0,4,0.0038
3-18-2016,0,0,5,0.0243
3-21-2016,1,0,8,-0.0105
3-22-2016,-1,1,4,0.0009
3-23-2016,-1,0,3,-0.0143
3-24-2016,-1,0,4,0.0023
3-25-2016,1,0,6,-0.0112
3-28-2016,0,1,5,-0.008
3-29-2016,1,0,6,0.0257
3-30-2016,-1,1,4,-0.0009
3-31-2016,-1,0,4,0.0042
4-1-2016,-1,0,4,0.0046
4-5-2016,0,0,5,-0.0046
4-6-2016,-1,0,4,-0.012
4-7-2016,-1,0,4,-0.007
4-8-2016,0,0,5,0.0094
4-11-2016,0,0,5,-0.0009
4-12-2016,0,0,5,0.0121
4-13-2016,1,0,8,0.0028
4-14-2016,0,1,5,0.0018
4-15-2016,-1,0,3,-0.011
4-18-2016,0,0,5,0.0032
4-19-2016,-1,0,4,-0.006
4-20-2016,1,0,6,-0.0009
4-21-2016,1,1,8,0.0047
4-22-2016,-1,1,4,-0.0051
4-25-2016,1,0,8,0.0033
4-26-2016,-1,1,3,-0.0037
4-27-2016,0,0,5,-0.0009
4-28-2016,-1,0,4,-0.0033
4-29-2016,-1,0,4,0.0112
5-3-2016,1,0,8,-0.0028
5-4-2016,0,1,5,-0.0009
5-5-2016,1,0,8,-0.0223
5-6-2016,1,1,8,-0.0152
5-9-2016,0,1,5,-0.0005
5-10-2016,-1,0,4,0.0034
5-11-2016,1,0,6,0.0029
5-12-2016,1,1,8,-0.0019
5-13-2016,1,1,8,0.001
5-16-2016,1,1,8,-0.0019
5-17-2016,1,1,8,0.0005
5-18-2016,0,1,5,-0.0029
5-19-2016,1,0,9,0.0053
5-20-2016,1,1,8,0.0005
5-23-2016,1,1,8,-0.0072
5-24-2016,1,1,9,0.0024
5-25-2016,1,1,6,0
5-26-2016,1,1,9,0.0019
5-27-2016,1,1,8,0.0053
5-30-2016,1,1,7,0.034
5-31-2016,1,1,10,-0.0083
6-1-2016,1,1,7,-0.0009
6-2-2016,1,1,7,0.0065
6-3-2016,1,1,7,-0.006
6-6-2016,1,1,7,0.0009
6-7-2016,1,1,7,-0.0019
6-8-2016,0,1,5,-0.0238
6-13-2016,0,0,5,0.0062
6-14-2016,0,0,5,0.0038
6-15-2016,1,0,7,-0.0033
6-16-2016,1,1,7,0.0033
6-17-2016,1,1,8,0.0024
6-20-2016,1,1,7,-0.0009
6-21-2016,1,1,7,0.0057
6-22-2016,1,1,7,-0.0038
6-23-2016,0,1,5,-0.0123
6-24-2016,1,0,7,0.01
6-27-2016,-1,1,2,0.0028
6-28-2016,-1,0,3,0.0085
6-29-2016,0,0,5,0.0005
6-30-2016,1,0,7,0.0028
7-1-2016,-1,1,3,0.0163
7-4-2016,1,0,8,0.0037
7-5-2016,1,1,7,-0.0005
7-6-2016,1,1,7,0.0023
7-7-2016,1,1,7,-0.0055
7-8-2016,0,1,5,0.0051
7-11-2016,0,0,5,0.0206
7-12-2016,1,0,8,0.0013
7-13-2016,1,1,6,-0.0013
7-14-2016,1,1,6,0.0013
7-15-2016,0,1,5,-0.0036
7-18-2016,0,0,5,-0.0054
7-19-2016,1,0,7,-0.0032
7-20-2016,0,1,5,0.005
7-21-2016,1,0,6,-0.009
7-22-2016,-1,1,4,0.0005
7-25-2016,1,0,6,0.0118
7-26-2016,1,1,8,-0.0054
7-27-2016,1,1,7,-0.0018
7-28-2016,1,1,8,-0.0045
7-29-2016,1,1,7,-0.005
8-1-2016,-1,1,3,0
8-2-2016,1,0,6,-0.0009
8-3-2016,1,1,6,-0.0009
8-4-2016,1,1,6,0.0041
8-5-2016,1,1,9,0.0041
8-8-2016,1,1,6,0.0077
8-9-2016,1,1,6,-0.0023
8-10-2016,1,1,10,0.0032
8-11-2016,1,1,8,0.022
8-12-2016,1,1,6,0.0282
8-15-2016,1,1,9,-0.0128
8-16-2016,1,1,8,-0.0026
8-17-2016,0,1,5,-0.0043
8-18-2016,-1,0,4,0.0048
8-19-2016,-1,0,4,-0.0061
8-22-2016,1,0,6,0.0013
8-23-2016,0,1,5,-0.0044
8-24-2016,0,0,5,-0.0048
8-25-2016,1,0,6,-0.0009
8-26-2016,1,1,6,-0.0009
8-29-2016,0,1,5,0.0049
8-30-2016,1,0,6,0.0035
8-31-2016,1,1,6,-0.007
9-1-2016,-1,1,4,0.0049
9-2-2016,1,0,6,0.0004
9-5-2016,1,1,9,0.0026
9-6-2016,1,1,6,0.0017
9-7-2016,-1,1,4,0
9-8-2016,-1,0,4,-0.0044
9-9-2016,-1,0,4,-0.0132
9-12-2016,1,0,6,-0.0036
9-13-2016,1,1,9,-0.0058
9-14-2016,-1,1,4,0.0058
9-19-2016,1,0,8,-0.0013
9-20-2016,0,1,5,0.0018
9-21-2016,1,0,6,0.0053
9-22-2016,1,1,8,-0.0027
9-23-2016,1,1,6,-0.012
9-26-2016,0,1,5,0.0032
9-27-2016,1,0,8,-0.0045
9-28-2016,1,1,6,0.005
9-29-2016,1,1,9,0.0022
9-30-2016,1,1,9,0.0121
10-10-2016,1,1,8,0.0013
10-11-2016,1,1,8,-0.0035
10-12-2016,1,1,6,0
10-13-2016,1,1,9,0.004
10-14-2016,0,1,5,-0.0071
10-17-2016,-1,0,4,0.0142
10-18-2016,1,0,8,-0.0013
10-19-2016,0,1,5,0.0004
10-20-2016,0,0,5,0.0066
10-21-2016,1,0,8,0.0126
10-24-2016,1,1,8,-0.0022
10-25-2016,1,1,8,-0.0034
10-26-2016,1,1,8,-0.0026
10-27-2016,1,1,7,0.0009
10-28-2016,1,1,8,-0.0009
10-31-2016,1,1,8,0.0048
11-1-2016,1,1,10,-0.0069
